factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4
0.08558365 -0.0336186 1.515867 1.384985
0.05182302 -0.04822591 1.688259 1.516457
0.04434974 0.005855629 1.729318 1.340656
0.01808668 -0.06376297 1.756351 1.342906
0.03763552 -0.05699426 1.711819 1.358263
-0.02408309 -0.09190879 1.779596 1.408717
0.04286246 -0.001080786 1.673206 1.423327
0.01314613 -0.0693391 1.702094 1.448934
0.02414117 -0.08512455 1.550327 1.666532
-0.01138293 -0.08901176 1.706399 1.79889
0.02271441 -0.05398094 1.732312 1.970779
0.0457201 -0.0008554211 1.629149 2.044895
0.05093324 -0.01979988 1.518133 2.195606
0.003281118 -0.09531271 1.328075 2.116338
0.01761467 -0.02723087 1.358917 2.145639
0.06846745 -0.03571639 1.396439 2.258792
0.01162372 -0.005779533 1.399022 2.298734
0.05497146 -0.03444122 1.387282 2.257233
0.06873666 -0.05198523 1.38877 2.134725
0.04170012 -0.02737477 1.304311 2.074994
0.06155174 -0.01154612 1.329565 1.945017
0.08163455 -0.07395615 1.474486 2.05628
0.05781198 -0.03324756 1.482986 2.108763
0.0727323 -0.1150174 1.596539 2.212676
-0.01125248 0.009980228 1.69667 2.33021
0.07197018 -0.07065676 1.680245 2.192601
0.00752795 -0.08323785 1.584857 2.14289
0.0659328 -0.02792036 1.638314 2.031643
0.02728519 -0.05317666 1.526444 2.102988
0.02300817 -0.01809389 1.499316 2.128205
0.04521694 -0.05281619 1.539627 2.12323
0.006166782 -0.05894158 1.661909 2.107146
0.05248319 -0.01435296 1.688419 2.234834
0.05525822 -0.04312288 1.64812 2.206525
0.06095977 -0.0580976 1.648513 2.314648
0.03649887 -0.06368618 1.660174 2.260378
0.007376255 -0.05574127 1.75596 2.123646
0.062307 -0.09205661 1.822218 2.193138
0.05948127 -0.01079492 1.816501 2.16072
0.06412185 -0.07029206 1.834064 2.514491
0.05342312 -0.02579838 1.849984 2.440809
0.01703701 -0.1152931 1.883704 2.615705
0.02930408 0.0210639 1.972541 2.408535
0.01852847 -0.03078613 1.842936 2.425388
0.1080859 -0.01825411 1.828873 2.331462
0.08652013 -0.05218892 1.743044 2.276781
0.006977745 -0.06274186 1.829539 2.384627
-0.0106476 -0.1141457 1.702651 2.375692
0.0255614 -0.03390306 1.713969 2.499726
0.0439842 0.03640795 1.70108 2.408247
0.09031453 -0.04914025 1.799094 2.469426
0.06373251 -0.01876106 1.833094 2.429721
0.05538518 -0.01323052 1.810069 2.437258
0.03615544 -0.03328896 1.611108 2.33656
0.07177353 -0.06273704 1.572372 2.355558
0.07562118 -0.04272925 1.487441 2.284456
0.02093222 0.01599703 1.326336 2.222167
0.06883324 -0.0169348 1.404893 2.183506
0.005887428 -0.05561746 1.26 2.046747
-0.004428567 -0.07438516 1.233443 2.049011
0.02278807 -0.09120706 1.174502 1.960058
0.03050013 -0.07777805 1.237968 1.901242
-0.001021526 -0.07812897 1.135479 1.938598
0.007661386 -0.1321378 0.9244948 1.793159
0.02577235 -0.107595 0.8915265 1.890856
0.03876004 -0.04586901 0.9004521 1.780482
0.04437148 -0.03766263 0.9155511 1.714174
0.04470501 -0.05444824 0.9150152 1.743154
0.0595006 -0.1205371 0.9626355 1.616923
-0.03232803 -0.09205682 0.9262386 1.537936
0.006052113 -0.02797231 0.9422862 1.479365
0.03652019 -0.09099622 1.039944 1.6575
-0.0329946 -0.1100854 1.124053 1.682751
0.03523735 -0.0609156 1.26888 1.636385
