X,GID,P1,P2,TraitBLUE,Year,CV
52623,SL18-SF-17-FG3xSA18-CB-10-MG1,SL18-SF-17-FG3,SA18-CB-10-MG1,-0.126963797,2019,1
52630,SL18-SF-17-FG3xSA18-CB-3-MG3,SL18-SF-17-FG3,SA18-CB-3-MG3,-0.1594005,2019,7
52719,SL18-SF-17-FG3xSL18-LD-2-MG1,SL18-SF-17-FG3,SL18-LD-2-MG1,-0.218129124,2019,3
52754,SL18-SF-17-FG3xSL18-NL-10-MG2,SL18-SF-17-FG3,SL18-NL-10-MG2,-0.30211405,2019,7
52757,SL18-SF-17-FG3xSL18-NL-2-MG3,SL18-SF-17-FG3,SL18-NL-2-MG3,-0.229977851,2019,9
52769,SL18-SF-17-FG3xSL18-NL-9-MG1,SL18-SF-17-FG3,SL18-NL-9-MG1,-0.268705239,2019,2
52809,SL18-SF-17-FG3xSL18-OI-7-MG1,SL18-SF-17-FG3,SL18-OI-7-MG1,-0.245582663,2019,5
52813,SL18-SF-17-FG3xSL18-OI-9-MG3,SL18-SF-17-FG3,SL18-OI-9-MG3,-0.215582663,2019,2
1145,SA18-CB-2-FG3xSL18-CC-2-MG5,SA18-CB-2-FG3,SL18-CC-2-MG5,1.221363957,2020,1
1228,SA18-CB-2-FG3xSL18-NC-9-MG1,SA18-CB-2-FG3,SL18-NC-9-MG1,0.136957391,2020,5
1278,SA18-CB-2-FG3xSL18-OI-2-MG2,SA18-CB-2-FG3,SL18-OI-2-MG2,0.231916065,2020,7
1733,SA18-CB-4-FG6xSL18-JS-6-MG3,SA18-CB-4-FG6,SL18-JS-6-MG3,0.924804632,2020,9
2512,SA18-CB-5-FG4xSL18-CC-1-MG3,SA18-CB-5-FG4,SL18-CC-1-MG3,0.051458133,2020,7
3069,SA18-CB-5-FG6xSL18-CC-6-MG2,SA18-CB-5-FG6,SL18-CC-6-MG2,0.33857375,2020,6
3382,SA18-CB-7-FG1xSL18-LD-1-MG1,SA18-CB-7-FG1,SL18-LD-1-MG1,0.196290533,2020,10
3918,SA18-CB-9-FG1xSL18-JS-19-MG1,SA18-CB-9-FG1,SL18-JS-19-MG1,0.632607997,2020,9
3922,SA18-CB-9-FG1xSL18-JS-5-MG3,SA18-CB-9-FG1,SL18-JS-5-MG3,0.072652299,2020,8
4028,SA18-CB-9-FG1xSL18-OI-7-MG3,SA18-CB-9-FG1,SL18-OI-7-MG3,0.904291217,2020,4
