"","X","GID","P1","P2","TraitBLUE","Year","CV"
"147",8885,"SL18-CC-12-FG3xSL18-NC-11-MG2","SL18-CC-12-FG3","SL18-NC-11-MG2",-0.097371253952331,2020,1
"148",8940,"SL18-CC-12-FG3xSL18-OI-15-MG2","SL18-CC-12-FG3","SL18-OI-15-MG2",0.480813902291905,2020,7
"149",8941,"SL18-CC-12-FG3xSL18-OI-15-MG3","SL18-CC-12-FG3","SL18-OI-15-MG3",0.0903995025987169,2020,5
"150",9394,"SL18-CC-3-FG1xSL18-JS-11-MG2","SL18-CC-3-FG1","SL18-JS-11-MG2",-0.182443294641544,2020,6
"151",9401,"SL18-CC-3-FG1xSL18-JS-5-MG2","SL18-CC-3-FG1","SL18-JS-5-MG2",0.840692242319703,2020,10
"152",9405,"SL18-CC-3-FG1xSL18-JS-6-MG3","SL18-CC-3-FG1","SL18-JS-6-MG3",0.343744518036055,2020,4
"153",9491,"SL18-CC-3-FG1xSL18-OI-16-MG2","SL18-CC-3-FG1","SL18-OI-16-MG2",0.133503713068688,2020,10
"154",9595,"SL18-CC-3-FG2xSA18-CB-10-MG3","SL18-CC-3-FG2","SA18-CB-10-MG3",1.95023404168499,2020,4
"155",9603,"SL18-CC-3-FG2xSA18-CB-4-MG2","SL18-CC-3-FG2","SA18-CB-4-MG2",0.105245827440702,2020,6
"156",9752,"SL18-CC-3-FG2xSL18-OD-6-MG1","SL18-CC-3-FG2","SL18-OD-6-MG1",0.764268028880013,2020,6
"157",9757,"SL18-CC-3-FG2xSL18-OI-11-MG3","SL18-CC-3-FG2","SL18-OI-11-MG3",0.236301593047668,2020,8
"158",10028,"SL18-CC-3-FG3xSL18-OD-6-MG3","SL18-CC-3-FG3","SL18-OD-6-MG3",0.442661217047669,2020,4
"159",10228,"SL18-CC-5-FG1xSL18-JS-9-MG1","SL18-CC-5-FG1","SL18-JS-9-MG1",-0.00490082104998063,2020,3
"160",10416,"SL18-CC-5-FG2xSA18-CB-10-MG1","SL18-CC-5-FG2","SA18-CB-10-MG1",1.88964145048964,2020,5
"161",10527,"SL18-CC-5-FG2xSL18-NC-10-MG2","SL18-CC-5-FG2","SL18-NC-10-MG2",0.18347792034769,2020,3
"162",10528,"SL18-CC-5-FG2xSL18-NC-10-MG2","SL18-CC-5-FG2","SL18-NC-10-MG2",0.18347792034769,2020,5
"163",10546,"SL18-CC-5-FG2xSL18-NC-9-MG2","SL18-CC-5-FG2","SL18-NC-9-MG2",-0.0189189272151577,2020,8
"164",10688,"SL18-CC-5-FG3xSA18-CB-1-MG12","SL18-CC-5-FG3","SA18-CB-1-MG12",0.143213095440701,2020,9
"165",10770,"SL18-CC-5-FG3xSL18-JS-19-MG2","SL18-CC-5-FG3","SL18-JS-19-MG2",0.0372781926849878,2020,4
"166",10772,"SL18-CC-5-FG3xSL18-JS-5-MG2","SL18-CC-5-FG3","SL18-JS-5-MG2",0.0718900482919047,2020,7
"167",10856,"SL18-CC-5-FG3xSL18-OI-14-MG1","SL18-CC-5-FG3","SL18-OI-14-MG1",1.24238629175007,2020,8
"168",11046,"SL18-CC-6-FG1xSL18-JS-5-MG2","SL18-CC-6-FG1","SL18-JS-5-MG2",-0.0466192186780127,2020,1
"169",11403,"SL18-CC-6-FG2xSL18-OI-11-MG4","SL18-CC-6-FG2","SL18-OI-11-MG4",0.258002903833785,2020,6
"170",11404,"SL18-CC-6-FG2xSL18-OI-14-MG1","SL18-CC-6-FG2","SL18-OI-14-MG1",0.135763131440701,2020,1
"171",11600,"SL18-CC-6-FG3xSL18-JS-9-MG2","SL18-CC-6-FG3","SL18-JS-9-MG2",-0.105662681494171,2020,9
"172",11679,"SL18-CC-6-FG3xSL18-OI-14-MG2","SL18-CC-6-FG3","SL18-OI-14-MG2",0.0398134917057836,2020,7
"173",11914,"SL18-CC-8-FG1xSL18-NC-8-MG2","SL18-CC-8-FG1","SL18-NC-8-MG2",-0.11032558123832,2020,5
"174",11963,"SL18-CC-8-FG1xSL18-OI-18-MG3","SL18-CC-8-FG1","SL18-OI-18-MG3",0.0806246675058297,2020,2
"175",11973,"SL18-CC-8-FG1xSL18-OI-7-MG1","SL18-CC-8-FG1","SL18-OI-7-MG1",-0.143269965512886,2020,3
"176",12143,"SL18-CC-8-FG2xSL18-JS-5-MG3","SL18-CC-8-FG2","SL18-JS-5-MG3",1.29337900747803,2020,10
"177",12164,"SL18-CC-8-FG2xSL18-LD-9-MG1","SL18-CC-8-FG2","SL18-LD-9-MG1",0.369337851861545,2020,5
"178",12186,"SL18-CC-8-FG2xSL18-NC-5-MG3","SL18-CC-8-FG2","SL18-NC-5-MG3",-0.196100125215158,2020,7
"179",12697,"SL18-CC-9-FG3xSL18-JS-9-MG3","SL18-CC-9-FG3","SL18-JS-9-MG3",0.0112005592546269,2020,1
"180",20603,"SL18-JS-16-FG1xSL18-CC-4-MG11","SL18-JS-16-FG1","SL18-CC-4-MG11",-0.151354840970921,2020,10
"181",20652,"SL18-JS-16-FG1xSL18-LD-2-MG2","SL18-JS-16-FG1","SL18-LD-2-MG2",-0.215034661963944,2020,4
"182",20839,"SL18-JS-16-FG3xSA18-CB-4-MG3","SL18-JS-16-FG3","SA18-CB-4-MG3",-0.220389804326761,2020,1
"183",20941,"SL18-JS-16-FG3xSL18-NC-10-MG3","SL18-JS-16-FG3","SL18-NC-10-MG3",0.0812286946966017,2020,5
"184",20988,"SL18-JS-16-FG3xSL18-OD-6-MG2","SL18-JS-16-FG3","SL18-OD-6-MG2",-0.0324405623973088,2020,6
"185",21104,"SL18-JS-19-FG2xSA18-CB-10-MG3","SL18-JS-19-FG2","SA18-CB-10-MG3",0.0963865233219877,2020,1
"186",21383,"SL18-JS-19-FG3xSA18-CB-3-MG2","SL18-JS-19-FG3","SA18-CB-3-MG2",-0.0885071939523319,2020,1
"187",21472,"SL18-JS-19-FG3xSL18-LD-13-MG3","SL18-JS-19-FG3","SL18-LD-13-MG3",0.0351535507514876,2020,4
"188",21550,"SL18-JS-19-FG3xSL18-OI-17-MG1","SL18-JS-19-FG3","SL18-OI-17-MG1",-0.129762875933729,2020,3
"189",22196,"SL18-JS-5-FG1xSA18-CB-1-MG12","SL18-JS-5-FG1","SA18-CB-1-MG12",-0.24660895132676,2020,3
"190",22298,"SL18-JS-5-FG1xSL18-LD-2-MG4","SL18-JS-5-FG1","SL18-LD-2-MG4",0.0760560252919049,2020,2
"191",22364,"SL18-JS-5-FG1xSL18-OI-14-MG1","SL18-JS-5-FG1","SL18-OI-14-MG1",-0.198829894512886,2020,9
"192",22656,"SL18-JS-5-FG2xSL18-OI-5-MG3","SL18-JS-5-FG2","SL18-OI-5-MG3",-0.14330507707091,2020,6
"193",23569,"SL18-JS-9-FG3xSA18-CB-10-MG1","SL18-JS-9-FG3","SA18-CB-10-MG1",-0.0580589571662158,2020,3
"194",25773,"SL18-LD-13-FG2xSA18-CB-7-MG1","SL18-LD-13-FG2","SA18-CB-7-MG1",0.205266906880013,2020,2
"195",25855,"SL18-LD-13-FG2xSL18-LD-13-MG2","SL18-LD-13-FG2","SL18-LD-13-MG2",-0.0377318694405075,2020,2
"196",26243,"SL18-LD-2-FG2xSL18-SF-19-MG1","SL18-LD-2-FG2","SL18-SF-19-MG1",-0.0175848991481681,2020,9
"197",30058,"SL18-LD-9-FG4xSL18-OI-6-MG2","SL18-LD-9-FG4","SL18-OI-6-MG2",0.35070658817233,2020,9
"198",30432,"SL18-LL-9-FG2xSA18-CB-5-MG3","SL18-LL-9-FG2","SA18-CB-5-MG3",-0.142672500559248,2020,1
"199",30970,"SL18-LL-9-FG6xSA18-CB-10-MG3","SL18-LL-9-FG6","SA18-CB-10-MG3",-0.260413901082525,2020,5
"200",31359,"SL18-NC-1-FG1xSL18-NC-12-MG3","SL18-NC-1-FG1","SL18-NC-12-MG3",-0.366464320208181,2020,7
"201",31915,"SL18-NC-10-FG1xSL18-NC-5-MG1","SL18-NC-10-FG1","SL18-NC-5-MG1",-0.412709570963945,2020,2
"202",31955,"SL18-NC-10-FG1xSL18-OI-11-MG4","SL18-NC-10-FG1","SL18-OI-11-MG4",-0.248528176394305,2020,9
"203",32071,"SL18-NC-10-FG3xSA18-CB-3-MG2","SL18-NC-10-FG3","SA18-CB-3-MG2",-0.0612735853033981,2020,3
"204",32203,"SL18-NC-10-FG3xSL18-NL-5-MG2","SL18-NC-10-FG3","SL18-NL-5-MG2",-0.000475631901184259,2020,4
"205",32471,"SL18-NC-11-FG1xSL18-NL-2-MG1","SL18-NC-11-FG1","SL18-NL-2-MG1",0.176517493489643,2020,9
"206",33166,"SL18-NC-12-FG2xSA18-CB-3-MG1","SL18-NC-12-FG2","SA18-CB-3-MG1",0.258400501047669,2020,8
"207",33171,"SL18-NC-12-FG2xSA18-CB-4-MG3","SL18-NC-12-FG2","SA18-CB-4-MG3",0.00297815602907821,2020,4
"208",33299,"SL18-NC-12-FG2xSL18-NL-5-MG2","SL18-NC-12-FG2","SL18-NL-5-MG2",NA,2020,7
"209",33331,"SL18-NC-12-FG2xSL18-OI-16-MG1","SL18-NC-12-FG2","SL18-OI-16-MG1",0.0848404664780297,2020,10
"210",34024,"SL18-NC-15-FG3xSL18-CC-1-MG2","SL18-NC-15-FG3","SL18-CC-1-MG2",-0.365739017208181,2020,1
"211",34332,"SL18-NC-5-FG2xSL18-JS-11-MG3","SL18-NC-5-FG2","SL18-JS-11-MG3",-0.0903258715104688,2020,10
"212",34709,"SL18-NC-5-FG3xSL18-OI-2-MG2","SL18-NC-5-FG3","SL18-OI-2-MG2",-0.161954838952331,2020,3
"213",34950,"SL18-NC-8-FG1xSL18-NL-7-MG2","SL18-NC-8-FG1","SL18-NL-7-MG2",0.00424099892908917,2020,9
"214",35428,"SL18-NC-9-FG2xSL18-JS-11-MG3","SL18-NC-9-FG2","SL18-JS-11-MG3",0.0345891981723311,2020,5
"215",37005,"SL18-NL-2-FG3xSA18-CB-4-MG1","SL18-NL-2-FG3","SA18-CB-4-MG1",-0.27897494830573,2020,9
"216",37286,"SL18-NL-3-FG1xSA18-CB-7-MG2","SL18-NL-3-FG1","SA18-CB-7-MG2",-0.0754457648381993,2020,6
"217",37426,"SL18-NL-3-FG1xSL18-OD-3-MG1","SL18-NL-3-FG1","SL18-OD-3-MG1",-0.128956512215159,2020,2
"218",37461,"SL18-NL-3-FG1xSL18-OI-7-MG3","SL18-NL-3-FG1","SL18-OI-7-MG3",0.234539667961634,2020,6
"219",37950,"SL18-NL-3-FG3xSL18-NC-9-MG2","SL18-NL-3-FG3","SL18-NC-9-MG2",0.422686022487114,2020,4
"220",38260,"SL18-NL-5-FG1xSL18-OI-14-MG1","SL18-NL-5-FG1","SL18-OI-14-MG1",0.169256150303519,2020,7
"221",39634,"SL18-NL-7-FG3xSL18-OI-15-MG3","SL18-NL-7-FG3","SL18-OI-15-MG3",-0.0646570788291023,2020,6
"222",39635,"SL18-NL-7-FG3xSL18-OI-15-MG3","SL18-NL-7-FG3","SL18-OI-15-MG3",-0.0646570788291023,2020,1
"223",39636,"SL18-NL-7-FG3xSL18-OI-15-MG3","SL18-NL-7-FG3","SL18-OI-15-MG3",-0.0646570788291023,2020,4
"224",39637,"SL18-NL-7-FG3xSL18-OI-15-MG3","SL18-NL-7-FG3","SL18-OI-15-MG3",-0.0646570788291023,2020,3
"225",39638,"SL18-NL-7-FG3xSL18-OI-15-MG3","SL18-NL-7-FG3","SL18-OI-15-MG3",-0.0646570788291023,2020,4
"226",39639,"SL18-NL-7-FG3xSL18-OI-15-MG3","SL18-NL-7-FG3","SL18-OI-15-MG3",-0.0646570788291023,2020,8
